record_id,country_code,country_name,region,income_level,date,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,avg_weekly_temp,max_hourly_temp,extreme_heat_hours,avg_humidity,avg_aerosol_depth,max_aerosol_depth
1,USA,United States,North America,High,2015-01-04,37.09,-95.71,331,4.59,0.76,75.7,0,0,0,0,39.0,82,69.4,31.5,6.6,16.2,1.4,77.3,63627,71.2,90.2,-5.801130952380952,2.37,0,64.36208333333333,0.03035714285714283,0.25
2,USA,United States,North America,High,2015-01-11,37.09,-95.71,331,3.13,-0.5,97.0,0,0,0,0,17.9,6,70.0,26.3,5.2,11.4,0.0,83.6,63627,70.6,94.0,0.22321428571428567,13.57,0,76.32178571428571,0.10785714285714301,0.47
3,USA,United States,North America,High,2015-01-18,37.09,-95.71,331,3.99,-0.14,74.1,0,0,0,0,91.5,137,66.9,33.4,1.3,19.5,0.0,84.7,63627,63.4,100.0,3.5508333333333333,15.83,0,74.73482142857144,0.035833333333333335,0.11
4,USA,United States,North America,High,2015-01-25,37.09,-95.71,331,6.43,-0.06,87.7,0,0,0,0,5.5,-3,47.0,35.0,6.0,9.7,9.0,84.3,63627,68.1,96.4,6.043988095238095,20.3,0,76.52940476190477,0.05523809523809519,0.22
5,USA,United States,North America,High,2015-02-01,37.09,-95.71,331,9.0,0.47,75.8,1,0,0,1,37.1,48,61.3,28.3,1.4,22.6,27.3,83.6,63733,69.1,100.0,0.35041666666666665,16.84,0,75.77357142857143,0.06357142857142853,0.24
6,USA,United States,North America,High,2015-02-08,37.09,-95.71,331,6.44,0.18,151.0,0,0,0,0,114.1,157,80.2,30.6,0.7,23.7,11.9,78.0,63733,70.1,97.1,4.227797619047619,20.39,0,72.04869047619047,0.05315476190476186,0.14
7,USA,United States,North America,High,2015-02-15,37.09,-95.71,331,6.86,0.38,102.1,0,0,0,0,28.9,51,70.3,33.2,5.9,25.4,9.1,81.7,63733,68.5,100.0,-1.7001190476190478,10.78,0,71.07345238095238,0.12482142857142842,0.45
8,USA,United States,North America,High,2015-02-22,37.09,-95.71,331,8.34,0.64,102.9,1,0,0,1,0.0,5,48.0,33.3,6.4,17.7,20.3,86.7,63733,59.4,95.0,-4.305238095238095,8.79,0,67.24845238095239,0.1614880952380951,0.68
9,USA,United States,North America,High,2015-03-01,37.09,-95.71,331,9.58,-0.83,82.2,0,0,0,0,18.8,29,80.3,24.9,5.9,18.3,7.8,84.9,63839,75.7,100.0,1.01875,18.51,0,75.42,0.16940476190476184,0.76
10,USA,United States,North America,High,2015-03-08,37.09,-95.71,331,8.25,0.71,74.5,1,0,0,1,20.3,22,59.1,32.5,0.3,18.8,13.7,87.1,63839,71.9,95.2,10.360535714285714,22.73,0,80.69369047619048,0.23702380952380958,0.71
11,USA,United States,North America,High,2015-03-15,37.09,-95.71,331,8.83,-0.16,142.7,1,0,0,1,0.7,-23,54.1,32.0,7.3,12.3,13.6,83.2,63839,72.1,100.0,11.447738095238096,24.66,0,76.29851190476191,0.23363095238095238,1.03
12,USA,United States,North America,High,2015-03-22,37.09,-95.71,331,11.32,-0.34,126.3,0,0,0,0,40.4,73,63.9,22.2,8.1,25.1,20.8,79.1,63839,65.2,96.0,11.772261904761905,25.05,0,71.8157738095238,0.20232142857142854,0.83
13,USA,United States,North America,High,2015-03-29,37.09,-95.71,331,12.28,0.64,132.7,0,0,0,0,57.0,82,59.6,28.7,2.6,18.1,20.8,82.5,63839,71.4,100.0,14.080238095238096,25.42,0,72.07529761904762,0.18994047619047624,1.1
14,USA,United States,North America,High,2015-04-05,37.09,-95.71,331,13.64,-0.13,201.5,0,0,0,0,0.0,7,47.8,32.9,6.4,18.1,17.6,85.1,63945,62.4,97.5,16.680654761904762,29.7,0,75.58136904761905,0.20315476190476178,0.79
15,USA,United States,North America,High,2015-04-12,37.09,-95.71,331,11.04,-0.62,124.5,0,0,0,0,44.7,71,55.3,32.2,5.2,22.9,21.9,85.2,63945,65.2,100.0,16.517380952380954,24.4,0,79.16422619047619,0.25773809523809516,1.03
16,USA,United States,North America,High,2015-04-19,37.09,-95.71,331,9.17,0.16,125.9,1,0,0,1,70.8,106,86.5,37.2,5.7,19.4,15.1,79.9,63945,62.0,100.0,14.412202380952381,25.16,0,71.07607142857144,0.1955952380952383,0.55
17,USA,United States,North America,High,2015-04-26,37.09,-95.71,331,9.96,-0.26,62.8,0,0,0,0,56.4,77,77.8,29.0,1.8,14.9,17.8,82.6,63945,66.3,100.0,15.342738095238095,26.13,0,65.92380952380952,0.14321428571428563,0.42
18,USA,United States,North America,High,2015-05-03,37.09,-95.71,331,8.29,1.08,133.2,2,0,0,2,59.6,80,67.4,30.1,2.7,26.8,25.4,77.7,64051,67.4,100.0,21.019404761904763,27.57,0,81.37672619047619,0.4029761904761905,0.97
19,USA,United States,North America,High,2015-05-10,37.09,-95.71,331,10.93,0.64,122.7,1,0,0,1,76.7,104,62.2,33.5,10.6,18.4,19.7,76.5,64051,63.0,99.2,17.978749999999998,26.55,0,80.33988095238095,0.37601190476190477,0.97
20,USA,United States,North America,High,2015-05-17,37.09,-95.71,331,5.8,0.78,147.9,0,0,0,0,27.2,34,58.7,45.6,6.2,23.1,5.1,82.9,64051,70.3,100.0,17.157797619047617,26.54,0,80.17125,0.30797619047619057,1.05
21,USA,United States,North America,High,2015-05-24,37.09,-95.71,331,3.88,0.65,86.2,0,0,0,0,95.6,154,79.4,35.4,4.7,16.1,3.3,80.6,64051,74.4,97.4,20.064761904761905,26.86,0,88.4720238095238,0.3555357142857143,0.87
22,USA,United States,North America,High,2015-05-31,37.09,-95.71,331,6.17,0.48,144.2,0,0,0,0,40.2,69,55.8,36.8,6.7,15.0,0.0,86.0,64051,63.9,96.4,22.336488095238096,30.56,0,82.99196428571429,0.3048809523809525,0.57
23,USA,United States,North America,High,2015-06-07,37.09,-95.71,331,9.14,-0.21,84.1,1,0,0,1,49.7,67,76.4,29.3,7.6,17.1,17.7,77.1,64157,79.1,100.0,25.89577380952381,32.41,6,79.0627380952381,0.194702380952381,0.69
24,USA,United States,North America,High,2015-06-14,37.09,-95.71,331,4.24,0.61,56.0,0,0,0,0,68.1,112,63.4,33.0,0.0,27.4,1.4,86.6,64157,74.0,100.0,24.382559523809526,30.18,0,88.76857142857142,0.25934523809523774,0.47
25,USA,United States,North America,High,2015-06-21,37.09,-95.71,331,3.33,0.11,104.0,0,0,0,0,61.0,109,63.5,27.2,9.1,8.3,9.0,80.4,64157,68.5,99.7,26.341130952380954,32.06,3,82.0789880952381,0.2048214285714286,0.53
26,USA,United States,North America,High,2015-06-28,37.09,-95.71,331,3.14,0.65,105.5,0,0,0,0,51.2,78,50.9,29.0,4.0,20.8,1.1,82.7,64157,74.9,100.0,25.634166666666665,33.91,7,77.18220238095239,0.3464285714285714,0.77
27,USA,United States,North America,High,2015-07-05,37.09,-95.71,331,6.83,0.21,64.6,0,0,0,0,93.6,158,96.2,30.5,7.9,11.2,12.1,85.6,64263,69.2,93.0,24.394523809523808,31.87,0,87.19952380952381,0.4226785714285713,1.31
28,USA,United States,North America,High,2015-07-12,37.09,-95.71,331,-2.3,-0.94,83.7,0,0,0,0,57.5,101,74.7,32.7,7.1,17.8,0.0,79.2,64263,68.6,100.0,28.18154761904762,33.2,28,82.53827380952382,0.14404761904761915,0.26
29,USA,United States,North America,High,2015-07-19,37.09,-95.71,331,1.07,-0.03,76.4,0,0,0,0,51.7,41,56.5,29.3,4.8,19.8,0.0,81.6,64263,77.6,100.0,27.59154761904762,33.86,24,84.28565476190477,0.24803571428571408,0.72
30,USA,United States,North America,High,2015-07-26,37.09,-95.71,331,-3.72,-0.67,79.7,0,0,0,0,70.6,129,62.9,25.1,5.7,28.7,0.0,86.0,64263,77.8,100.0,27.139404761904764,33.7,28,76.55017857142857,0.18184523809523795,0.39
31,USA,United States,North America,High,2015-08-02,37.09,-95.71,331,0.68,0.1,28.7,0,1,0,1,47.5,81,77.9,25.7,7.1,23.8,0.0,81.7,64368,61.1,74.6,26.850595238095234,34.36,18,79.01398809523809,0.23374999999999999,0.94
32,USA,United States,North America,High,2015-08-09,37.09,-95.71,331,-0.73,0.76,57.6,0,0,0,0,89.2,113,59.7,33.5,6.2,18.3,0.0,84.5,64368,69.6,93.2,25.962142857142858,37.24,11,71.2877380952381,0.1488690476190476,0.23
33,USA,United States,North America,High,2015-08-16,37.09,-95.71,331,-2.15,-0.46,36.4,0,0,0,0,26.2,38,67.4,22.8,6.5,15.9,0.0,80.8,64368,69.5,94.6,23.223214285714285,33.77,9,74.00196428571428,0.34767857142857145,0.96
34,USA,United States,North America,High,2015-08-23,37.09,-95.71,331,-5.92,1.0,49.6,0,0,0,0,32.6,52,58.7,33.9,6.8,22.3,0.0,75.6,64368,67.1,98.4,22.063333333333333,29.98,0,74.24880952380951,0.4188690476190475,0.98
35,USA,United States,North America,High,2015-08-30,37.09,-95.71,331,-7.11,0.7,95.2,0,0,0,0,34.7,61,63.5,48.9,8.4,17.9,0.0,80.2,64368,62.0,100.0,25.704285714285714,33.39,12,75.81779761904761,0.2904761904761907,0.86
36,USA,United States,North America,High,2015-09-06,37.09,-95.71,331,-7.37,-0.31,11.1,0,0,0,0,63.2,109,79.5,31.7,2.4,18.5,0.0,87.2,64474,75.1,97.5,24.461904761904766,34.66,18,74.0985119047619,0.23363095238095222,0.59
37,USA,United States,North America,High,2015-09-13,37.09,-95.71,331,-5.64,-0.32,83.7,0,0,0,0,10.5,-13,62.6,28.5,5.4,16.7,0.0,81.3,64474,67.7,96.6,22.473809523809525,32.63,4,71.10517857142857,0.1436309523809524,0.28
38,USA,United States,North America,High,2015-09-20,37.09,-95.71,331,-5.93,-0.4,24.3,0,0,0,0,56.3,72,69.6,27.8,4.3,14.0,0.0,79.6,64474,73.8,100.0,21.95404761904762,30.54,0,70.50744047619048,0.1610119047619047,0.55
39,USA,United States,North America,High,2015-09-27,37.09,-95.71,331,-5.02,0.39,0.0,0,0,0,0,73.6,102,62.1,33.4,0.0,16.2,0.0,79.1,64474,62.4,100.0,18.524940476190476,30.46,0,64.1282142857143,0.12398809523809529,0.51
40,USA,United States,North America,High,2015-10-04,37.09,-95.71,331,-4.69,1.41,0.0,0,1,0,1,38.5,52,71.6,34.2,7.5,12.9,0.0,80.1,64580,74.2,72.4,17.313630952380954,30.58,0,72.40672619047619,0.17327380952380944,0.38
41,USA,United States,North America,High,2015-10-11,37.09,-95.71,331,-3.96,-0.08,51.8,0,0,0,0,34.5,53,58.8,35.4,5.8,20.2,0.0,83.7,64580,67.6,97.6,18.201130952380954,31.46,0,50.68065476190476,0.07309523809523806,0.29
42,USA,United States,North America,High,2015-10-18,37.09,-95.71,331,-5.73,0.16,104.0,0,0,0,0,61.0,87,80.3,28.8,0.0,13.5,0.0,87.5,64580,68.2,99.8,18.23375,28.06,0,60.20166666666666,0.11446428571428571,0.29
43,USA,United States,North America,High,2015-10-25,37.09,-95.71,331,-3.9,-0.09,68.3,0,0,0,0,0.0,4,57.7,22.1,8.4,20.2,0.0,83.0,64580,73.2,100.0,12.2,21.56,0,69.12059523809523,0.09154761904761896,0.31
44,USA,United States,North America,High,2015-11-01,37.09,-95.71,331,-3.61,-0.21,20.2,0,0,0,0,93.7,147,74.6,33.1,8.9,16.3,0.0,85.4,64686,67.2,100.0,14.165833333333333,24.74,0,76.14220238095238,0.1169642857142857,0.65
45,USA,United States,North America,High,2015-11-08,37.09,-95.71,331,-0.79,0.52,0.0,0,0,0,0,67.0,74,85.1,35.9,4.8,19.9,0.0,82.8,64686,82.2,100.0,10.97297619047619,23.38,0,61.50273809523809,0.0492261904761904,0.26
46,USA,United States,North America,High,2015-11-15,37.09,-95.71,331,-1.48,0.26,58.3,0,0,0,0,28.6,50,77.4,38.0,9.8,15.9,0.0,85.8,64686,69.4,100.0,9.96940476190476,19.01,0,71.06714285714285,0.17476190476190517,0.8
47,USA,United States,North America,High,2015-11-22,37.09,-95.71,331,-5.6,0.78,50.4,0,0,0,0,39.3,44,45.2,38.0,5.2,12.1,0.0,81.7,64686,68.3,100.0,7.018035714285714,18.13,0,80.62369047619048,0.12321428571428573,0.61
48,USA,United States,North America,High,2015-11-29,37.09,-95.71,331,-4.43,-0.1,50.9,0,0,0,0,0.0,-1,47.7,33.0,10.5,24.1,0.0,82.7,64686,64.5,100.0,2.7110119047619046,13.11,0,85.89625,0.10839285714285704,0.51
49,USA,United States,North America,High,2015-12-06,37.09,-95.71,331,-0.54,0.01,69.3,0,0,0,0,42.5,55,57.3,29.9,3.4,14.9,0.0,74.5,64792,68.7,100.0,10.106369047619047,20.13,0,84.94755952380953,0.08482142857142848,0.52
50,USA,United States,North America,High,2015-12-13,37.09,-95.71,331,2.51,0.64,5.6,0,0,0,0,66.1,95,68.3,35.9,7.5,11.9,0.0,80.2,64792,69.7,100.0,4.878095238095238,17.95,0,82.5602380952381,0.04184523809523795,0.22
51,USA,United States,North America,High,2015-12-20,37.09,-95.71,331,1.08,0.03,51.3,0,0,0,0,31.5,49,58.2,32.7,1.8,16.7,0.0,83.2,64792,74.1,95.0,7.472023809523809,14.39,0,84.38535714285715,0.12053571428571425,0.76
52,USA,United States,North America,High,2015-12-27,37.09,-95.71,331,2.72,0.84,47.0,0,0,0,0,34.2,37,43.6,43.0,1.3,14.4,6.5,78.3,64792,61.2,100.0,-3.7912500000000002,1.87,0,90.6652380952381,0.06833333333333316,0.18
53,USA,United States,North America,High,2016-01-03,37.09,-95.71,331,5.67,-1.06,29.5,0,0,0,0,40.5,53,66.1,24.5,8.3,19.1,6.6,83.4,64898,68.2,99.5,-1.3517261904761906,6.62,0,91.22845238095238,0.13095238095238093,0.53
54,USA,United States,North America,High,2016-01-10,37.09,-95.71,331,0.72,-0.65,109.1,0,0,0,0,42.4,61,62.9,28.5,3.4,14.6,0.0,77.4,64898,65.1,100.0,-0.04952380952380949,13.09,0,80.65922619047619,0.02684523809523807,0.07
55,USA,United States,North America,High,2016-01-17,37.09,-95.71,331,7.13,0.26,99.2,0,0,0,0,64.7,122,79.6,22.1,1.2,15.4,8.9,83.1,64898,72.6,96.1,-3.2160119047619045,2.33,0,84.66964285714286,0.12476190476190474,0.48
56,USA,United States,North America,High,2016-01-24,37.09,-95.71,331,4.47,-0.28,53.9,0,0,0,0,26.1,19,48.1,33.8,2.2,31.7,5.9,84.6,64898,70.9,95.5,4.371309523809524,17.68,0,82.79113095238095,0.053928571428571326,0.25
57,USA,United States,North America,High,2016-01-31,37.09,-95.71,331,5.69,0.08,177.1,0,0,0,0,22.2,28,59.1,31.3,4.0,28.4,5.6,84.0,64898,62.2,97.7,4.311369047619047,13.02,0,75.53571428571429,0.08874999999999976,0.78
58,USA,United States,North America,High,2016-02-07,37.09,-95.71,331,8.7,-0.52,132.2,0,0,0,0,15.4,19,53.9,30.5,5.5,11.8,13.8,85.7,65004,73.1,100.0,1.6217857142857142,13.15,0,73.21744047619048,0.06976190476190476,0.42
59,USA,United States,North America,High,2016-02-14,37.09,-95.71,331,10.03,0.25,105.9,0,0,0,0,0.0,12,51.3,33.5,4.4,24.1,14.2,78.3,65004,67.7,100.0,10.46047619047619,23.81,0,74.72875,0.07720238095238091,0.6
60,USA,United States,North America,High,2016-02-21,37.09,-95.71,331,10.01,-0.5,149.5,1,0,0,1,40.4,32,57.6,34.2,7.6,19.9,15.8,82.6,65004,72.4,100.0,5.862916666666667,19.2,0,75.28315476190475,0.06601190476190462,0.22
61,USA,United States,North America,High,2016-02-28,37.09,-95.71,331,12.01,-0.32,98.7,1,0,0,1,0.0,-25,34.4,25.5,7.4,17.0,22.5,76.7,65004,64.5,94.5,9.48047619047619,20.31,0,73.30410714285715,0.0823214285714284,0.55
62,USA,United States,North America,High,2016-03-06,37.09,-95.71,331,7.61,-0.51,136.8,0,0,0,0,28.5,30,81.6,24.1,8.5,26.6,1.9,80.7,65109,70.4,97.2,13.571785714285713,20.34,0,85.0905357142857,0.25589285714285714,0.71
63,USA,United States,North America,High,2016-03-13,37.09,-95.71,331,11.49,-0.29,103.2,4,0,0,4,35.2,74,62.8,30.4,6.4,15.7,52.7,87.1,65109,69.0,92.2,10.963095238095239,23.98,0,69.79249999999999,0.11107142857142853,0.38
64,USA,United States,North America,High,2016-03-20,37.09,-95.71,331,14.21,-0.28,107.6,3,0,0,3,54.9,113,70.7,29.1,0.9,14.8,46.8,83.2,65109,77.5,97.2,10.031369047619048,23.72,0,68.75297619047619,0.09494047619047621,0.47
65,USA,United States,North America,High,2016-03-27,37.09,-95.71,331,10.72,0.62,195.7,1,0,0,1,7.6,-13,58.9,35.8,5.9,23.2,26.0,84.0,65109,71.5,100.0,10.953154761904763,21.45,0,69.27107142857143,0.13380952380952388,0.99
66,USA,United States,North America,High,2016-04-03,37.09,-95.71,331,12.48,0.53,165.9,1,0,0,1,22.6,36,70.9,30.1,6.1,16.5,27.6,82.6,65215,75.9,100.0,14.296071428571427,25.6,0,61.7557738095238,0.09095238095238092,0.42
67,USA,United States,North America,High,2016-04-10,37.09,-95.71,331,7.94,0.4,138.8,1,0,0,1,86.3,133,93.7,33.0,5.8,21.5,19.3,85.7,65215,67.3,100.0,14.690892857142858,27.44,0,76.97666666666666,0.23113095238095221,0.94
68,USA,United States,North America,High,2016-04-17,37.09,-95.71,331,8.39,0.09,97.3,0,0,0,0,28.5,45,62.2,27.8,4.6,8.3,14.9,81.3,65215,75.4,91.2,17.097321428571426,25.94,0,79.35607142857143,0.24815476190476216,0.64
69,USA,United States,North America,High,2016-04-24,37.09,-95.71,331,7.65,-0.06,136.2,0,0,0,0,57.5,103,80.3,28.6,1.6,17.9,13.0,85.2,65215,63.9,100.0,17.992857142857144,26.28,0,79.31196428571428,0.3098214285714285,1.04
70,USA,United States,North America,High,2016-05-01,37.09,-95.71,331,9.27,-0.33,94.5,0,0,0,0,9.8,36,52.1,34.0,6.0,20.8,15.9,86.5,65321,72.2,100.0,15.49904761904762,27.32,0,70.6107738095238,0.09529761904761894,0.19
71,USA,United States,North America,High,2016-05-08,37.09,-95.71,331,9.54,0.38,109.2,0,0,0,0,74.2,117,64.7,25.1,4.1,14.8,13.5,80.6,65321,62.0,100.0,19.309464285714288,28.76,0,74.19190476190477,0.19172619047619052,0.72
72,USA,United States,North America,High,2016-05-15,37.09,-95.71,331,10.51,-0.11,107.9,0,0,0,0,27.1,4,42.3,33.3,7.4,20.6,10.7,79.0,65321,69.8,99.7,14.837976190476192,24.7,0,80.44166666666668,0.3758928571428572,1.04
73,USA,United States,North America,High,2016-05-22,37.09,-95.71,331,10.81,0.47,98.5,0,0,0,0,41.0,48,62.7,31.0,4.7,17.6,12.5,85.5,65321,71.0,94.4,22.3775,28.74,0,86.55059523809524,0.3706547619047618,0.99
74,USA,United States,North America,High,2016-05-29,37.09,-95.71,331,8.27,-0.22,87.9,0,0,0,0,77.4,130,73.8,25.7,7.1,20.5,15.5,80.9,65321,73.2,100.0,21.736130952380954,28.11,0,84.90065476190476,0.2551785714285714,0.51
75,USA,United States,North America,High,2016-06-05,37.09,-95.71,331,8.81,0.13,159.3,0,0,0,0,10.9,7,48.4,29.0,6.3,21.1,9.3,87.7,65427,69.9,100.0,23.897202380952383,30.56,0,75.29660714285714,0.1514880952380952,0.39
76,USA,United States,North America,High,2016-06-12,37.09,-95.71,331,6.15,0.05,96.1,0,0,0,0,56.1,69,64.3,21.9,6.2,21.7,4.4,78.1,65427,77.9,93.6,27.161190476190477,33.37,10,84.15452380952381,0.3092261904761906,0.6
77,USA,United States,North America,High,2016-06-19,37.09,-95.71,331,4.8,0.55,138.4,0,0,0,0,20.9,47,55.9,31.9,7.7,21.8,0.0,80.6,65427,77.4,100.0,27.482083333333332,34.82,22,76.40196428571429,0.21017857142857133,0.54
78,USA,United States,North America,High,2016-06-26,37.09,-95.71,331,4.19,0.28,90.9,0,0,0,0,28.1,32,58.2,37.2,6.6,16.6,6.7,77.3,65427,55.8,100.0,26.59488095238095,32.82,7,77.05642857142857,0.28958333333333336,0.76
79,USA,United States,North America,High,2016-07-03,37.09,-95.71,331,1.71,-0.53,39.4,0,0,0,0,81.1,115,77.8,27.1,6.4,18.9,0.0,77.8,65533,75.0,97.3,27.21357142857143,32.84,11,83.72684523809524,0.2783333333333334,0.59
80,USA,United States,North America,High,2016-07-10,37.09,-95.71,331,0.62,0.78,99.0,0,0,0,0,31.5,42,56.2,44.3,6.1,20.7,0.9,81.9,65533,71.2,98.5,26.522499999999997,32.79,5,78.96613095238095,0.23738095238095236,0.46
81,USA,United States,North America,High,2016-07-17,37.09,-95.71,331,0.39,0.01,90.6,0,0,0,0,43.2,76,62.1,30.5,0.0,23.1,0.0,88.8,65533,75.0,85.3,29.359583333333333,37.98,58,69.04470238095239,0.18119047619047637,0.37
82,USA,United States,North America,High,2016-07-24,37.09,-95.71,331,-0.65,0.59,33.1,0,0,0,0,68.7,87,64.4,42.5,4.4,19.6,0.0,83.6,65533,72.5,100.0,27.71166666666667,38.58,20,76.74005952380952,0.2884523809523808,0.58
83,USA,United States,North America,High,2016-07-31,37.09,-95.71,331,3.57,0.0,66.0,0,0,0,0,73.1,126,83.8,33.2,1.6,26.7,0.0,82.3,65533,71.5,96.0,29.172023809523807,38.22,50,67.58922619047618,0.1838095238095237,0.37
84,USA,United States,North America,High,2016-08-07,37.09,-95.71,331,-1.38,0.19,68.6,0,0,0,0,86.6,137,73.5,35.8,8.6,12.4,0.0,86.6,65639,73.5,98.3,27.48410714285714,37.93,18,75.78345238095238,0.2342261904761902,0.48
85,USA,United States,North America,High,2016-08-14,37.09,-95.71,331,-3.07,0.1,47.1,0,0,0,0,51.0,60,50.9,38.5,2.5,13.5,0.0,87.4,65639,66.8,93.1,25.377083333333335,33.91,22,68.87119047619048,0.18958333333333335,0.5
86,USA,United States,North America,High,2016-08-21,37.09,-95.71,331,-1.4,-0.31,116.6,0,0,0,0,61.2,87,43.4,39.9,0.8,10.3,0.0,84.2,65639,82.2,100.0,26.055238095238092,36.91,14,68.87559523809524,0.19410714285714273,0.67
87,USA,United States,North America,High,2016-08-28,37.09,-95.71,331,-2.79,0.46,69.0,0,0,0,0,53.2,81,65.3,28.5,4.2,10.0,0.0,83.0,65639,65.1,94.2,24.587559523809524,32.99,5,73.34791666666668,0.28119047619047627,0.7
88,USA,United States,North America,High,2016-09-04,37.09,-95.71,331,-1.66,0.49,0.0,0,0,0,0,44.9,44,62.1,31.7,2.1,21.3,0.4,79.7,65745,71.1,100.0,26.472916666666666,35.45,30,68.06559523809524,0.17916666666666678,0.48
89,USA,United States,North America,High,2016-09-11,37.09,-95.71,331,-2.01,0.0,24.7,0,0,0,0,56.7,87,72.4,30.2,5.1,15.0,0.0,78.8,65745,63.0,100.0,22.981964285714284,31.23,0,77.73958333333333,0.22690476190476214,1.01
90,USA,United States,North America,High,2016-09-18,37.09,-95.71,331,-6.44,-0.32,67.7,0,0,0,0,39.1,77,55.0,29.8,2.5,29.2,0.0,83.7,65745,71.5,100.0,25.77422619047619,34.19,19,73.07202380952381,0.13523809523809532,0.29
91,USA,United States,North America,High,2016-09-25,37.09,-95.71,331,-5.56,-0.03,41.4,0,0,0,0,48.0,87,86.5,27.1,0.9,18.1,0.0,87.5,65745,66.0,100.0,17.728928571428572,28.24,0,68.63041666666666,0.09261904761904749,0.51
92,USA,United States,North America,High,2016-10-02,37.09,-95.71,331,-6.32,0.32,88.9,0,0,0,0,32.7,46,54.0,26.5,3.1,12.4,0.0,77.8,65851,66.2,100.0,19.22511904761905,30.27,0,71.49547619047618,0.13851190476190486,0.68
93,USA,United States,North America,High,2016-10-09,37.09,-95.71,331,-4.45,0.45,0.0,0,0,0,0,69.4,114,90.3,31.0,10.2,19.0,0.0,79.7,65851,65.0,100.0,16.42684523809524,26.73,0,77.09630952380952,0.1696428571428573,0.55
94,USA,United States,North America,High,2016-10-16,37.09,-95.71,331,-4.74,0.83,32.4,0,0,0,0,86.4,111,70.6,27.1,5.2,22.4,0.0,83.2,65851,76.1,96.0,17.972440476190474,29.76,0,75.67089285714285,0.1020238095238094,0.66
95,USA,United States,North America,High,2016-10-23,37.09,-95.71,331,-5.64,0.22,58.3,0,0,0,0,62.9,78,60.0,27.6,4.3,18.9,0.0,89.0,65851,65.8,91.7,18.22982142857143,27.56,0,78.96083333333334,0.13666666666666663,0.81
96,USA,United States,North America,High,2016-10-30,37.09,-95.71,331,-6.42,0.45,46.2,0,0,0,0,57.0,86,63.3,34.6,3.7,24.3,0.0,81.8,65851,73.0,97.2,17.876428571428573,27.23,0,79.57785714285714,0.13345238095238102,0.58
97,USA,United States,North America,High,2016-11-06,37.09,-95.71,331,-6.0,-0.14,16.8,0,0,0,0,89.5,150,81.6,29.2,7.5,25.5,0.0,79.3,65956,70.1,93.2,11.497738095238095,19.49,0,77.49244047619047,0.1057142857142858,0.54
98,USA,United States,North America,High,2016-11-13,37.09,-95.71,331,-3.62,-0.27,45.4,0,0,0,0,52.3,86,65.0,31.1,5.2,8.6,0.0,84.3,65956,69.3,93.7,11.577619047619047,24.19,0,71.32315476190476,0.044642857142857095,0.15
99,USA,United States,North America,High,2016-11-20,37.09,-95.71,331,0.76,0.65,48.2,0,0,0,0,87.6,134,72.9,30.2,4.1,16.6,0.0,83.8,65956,70.8,99.8,7.472857142857143,17.98,0,77.1314880952381,0.07636904761904757,0.42
100,USA,United States,North America,High,2016-11-27,37.09,-95.71,331,0.86,0.51,13.9,0,0,0,0,31.1,44,58.0,37.5,3.5,12.6,2.3,84.8,65956,68.4,100.0,6.552261904761904,16.2,0,73.80029761904763,0.12244047619047596,0.65
101,USA,United States,North America,High,2016-12-04,37.09,-95.71,331,-0.74,-0.05,50.9,0,0,0,0,49.4,87,56.9,30.3,1.6,13.5,0.0,78.9,66062,60.2,100.0,0.7645833333333333,11.62,0,69.54517857142858,0.05952380952380943,0.29
